det_last,det_max,det_mean,det_n,elapsed_sec,entropy_coef,msg_len,returncode,run_dir,trial_index,vocab_size
0.7437,0.8813,0.7434475,40,1481.43,0.001,1,0,runs/2026-02-16_23-57-42,1,5
0.6875,0.7875,0.6509324999999999,40,1527.2,0.0003,1,0,runs/2026-02-17_00-22-16,2,5
0.6375,0.8,0.7031275000000002,40,1584.63,0.003,1,0,runs/2026-02-17_00-47-44,3,5
0.725,0.8062,0.683905,40,1617.19,0.001,2,0,runs/2026-02-17_01-14-08,4,5
0.7063,0.7563,0.6653125,40,1621.38,0.0003,2,0,runs/2026-02-17_01-41-06,5,5
0.5,0.8563,0.6192175000000002,40,1583.99,0.003,2,0,runs/2026-02-17_02-08-07,6,5
0.425,0.8063,0.6028175000000001,40,1545.76,0.001,1,0,runs/2026-02-17_02-34-31,7,10
0.65,0.8625,0.75218,40,1509.57,0.0003,1,0,runs/2026-02-17_03-00-17,8,10
0.825,0.8813,0.7199974999999998,40,1570.46,0.003,1,0,runs/2026-02-17_03-25-26,9,10
0.5688,0.65,0.5340549999999998,40,1672.94,0.001,2,0,runs/2026-02-17_03-51-37,10,10
0.7,0.8625,0.7203174999999999,40,1551.9,0.0003,2,0,runs/2026-02-17_04-19-30,11,10
0.8563,0.8563,0.7312475,40,1606.17,0.003,2,0,runs/2026-02-17_04-45-22,12,10
